time,open,high,low,close
2021-04-01T06:20:00Z,58921,58999,58920,58927
2021-04-01T06:25:00Z,58926,58929,58861,58929
2021-04-01T06:30:00Z,58915,58994,58915,58970
2021-04-01T06:35:00Z,58970,58971,58920,58920
2021-04-01T06:40:00Z,58920,58939,58880,58915
2021-04-01T06:45:00Z,58914,58975,58914,58955
2021-04-01T06:50:00Z,58942,58943,58869.36365513,58890
2021-04-01T06:55:00Z,58893,58893,58669,58729
2021-04-01T07:00:00Z,58729,58729,58530,58579
2021-04-01T07:05:00Z,58577,58651,58574.17196,58651
2021-04-01T07:10:00Z,58651,58662,58527,58636
2021-04-01T07:15:00Z,58636,58742,58633,58742
2021-04-01T07:20:00Z,58730,58889,58728,58793.972406
2021-04-01T07:25:00Z,58793.069023,58888,58751,58858
2021-04-01T07:30:00Z,58860,58912,58779,58835
2021-04-01T07:35:00Z,58835,58880,58812,58812
2021-04-01T07:40:00Z,58812,58816,58739,58757
2021-04-01T07:45:00Z,58756,58756,58619.534118,58695
2021-04-01T07:50:00Z,58693,58877,58673,58877
2021-04-01T07:55:00Z,58877,58881.8438394,58784.70092949,58801
2021-04-01T08:00:00Z,58801,58995,58801,58951
2021-04-01T08:05:00Z,58938,58971,58885,58906
2021-04-01T08:10:00Z,58919,59103,58918,59068
2021-04-01T08:15:00Z,59067,59252,59011,59171
2021-04-01T08:20:00Z,59189,59422,59189,59324
2021-04-01T08:25:00Z,59326,59483,59303.693,59345
2021-04-01T08:30:00Z,59349,59352,59212,59302.22519
2021-04-01T08:35:00Z,59304,59310,59210.73492974,59240
2021-04-01T08:40:00Z,59263,59274,59172,59197
2021-04-01T08:45:00Z,59196,59245,59133,59182.9188574
2021-04-01T08:50:00Z,59196,59196,58552,58759
2021-04-01T08:55:00Z,58759,58865,58709,58850
2021-04-01T09:00:00Z,58849,58900,58822,58860
2021-04-01T09:05:00Z,58860,58967.15688787,58818,58967.15688787
2021-04-01T09:10:00Z,58969,59199,58946,59142
2021-04-01T09:15:00Z,59131,59134.5690071,58972,59032
2021-04-01T09:20:00Z,59032,59069,58961,58987
2021-04-01T09:25:00Z,58982,59037,58936,59006
2021-04-01T09:30:00Z,59000,59000,58834.16548548,58866
2021-04-01T09:35:00Z,58866,58866,58760,58839
2021-04-01T09:40:00Z,58857,58912,58837.636355,58841
2021-04-01T09:45:00Z,58841,58908,58779,58807
2021-04-01T09:50:00Z,58806,58863,58730.737312,58760.32299625
2021-04-01T09:55:00Z,58758,58848,58720,58825
2021-04-01T10:00:00Z,58812,58864,58727,58858
2021-04-01T10:05:00Z,58857,58956,58839,58852
2021-04-01T10:10:00Z,58871,58871,58741,58801
2021-04-01T10:15:00Z,58784,58784,58661,58674
2021-04-01T10:20:00Z,58704,58749,58668.383279,58748
2021-04-01T10:25:00Z,58747,58747,58663.09744946,58717
2021-04-01T10:30:00Z,58717,58717,58645.58307831,58647.66240678
2021-04-01T10:35:00Z,58645.58307831,58687,58500,58500
2021-04-01T10:40:00Z,58503,58787,58500,58693
2021-04-01T10:45:00Z,58676,58765,58621,58645
2021-04-01T10:50:00Z,58646,58646,58510,58552
2021-04-01T10:55:00Z,58566,58696,58565,58625
2021-04-01T11:00:00Z,58620,58620,58420,58547
2021-04-01T11:05:00Z,58512,58515,58029,58321
2021-04-01T11:10:00Z,58322,58465,58322,58459
2021-04-01T11:15:00Z,58458,58458,58280,58317
2021-04-01T11:20:00Z,58349,58355,58201,58269.3688751
2021-04-01T11:25:00Z,58251,58389,58201,58377
2021-04-01T11:30:00Z,58386,58549,58367,58521
2021-04-01T11:35:00Z,58521,58521.97501677,58468,58468
2021-04-01T11:40:00Z,58468.24467559,58599,58468.24467559,58591
2021-04-01T11:45:00Z,58596,58688,58596,58666
2021-04-01T11:50:00Z,58666,58682,58526,58541
2021-04-01T11:55:00Z,58538,58626,58512,58599
2021-04-01T12:00:00Z,58584,58673.80053,58389,58618
2021-04-01T12:05:00Z,58612,58731,58591,58650
2021-04-01T12:10:00Z,58665,58690.04759604,58611,58627
2021-04-01T12:15:00Z,58612,58679,58588.7140258,58666
2021-04-01T12:20:00Z,58666,58700,58617,58700
2021-04-01T12:25:00Z,58700,58722,58641,58711
2021-04-01T12:30:00Z,58703.8133682,58703.8133682,58615,58674
2021-04-01T12:35:00Z,58677,58677,58609,58646
2021-04-01T12:40:00Z,58609.10940248,58650,58515,58515
2021-04-01T12:45:00Z,58516,58631,58509.80923208,58621
2021-04-01T12:50:00Z,58616,58700,58616,58656
2021-04-01T12:55:00Z,58657.98931596,58748,58640,58747.41340332
2021-04-01T13:00:00Z,58748,58931,58746,58873
2021-04-01T13:05:00Z,58874,59145.517952,58868,59006
2021-04-01T13:10:00Z,59005,59037,58923,58929
2021-04-01T13:15:00Z,58918,58918,58825,58838.46860346
2021-04-01T13:20:00Z,58839,58959,58838.46860346,58930
2021-04-01T13:25:00Z,58930,58977.5604103,58930,58959.292876
2021-04-01T13:30:00Z,58960,59128.27151091,58888,59069
2021-04-01T13:35:00Z,59040,59136,59033.719426,59057
2021-04-01T13:40:00Z,59057,59072,59027,59051
2021-04-01T13:45:00Z,59051,59063,59037,59060
2021-04-01T13:50:00Z,59060,59085,59023,59023
2021-04-01T13:55:00Z,59020,59033,58932.33614703,58963.9419789
2021-04-01T14:00:00Z,58967,58970,58887,58916
2021-04-01T14:05:00Z,58919,58999,58822,58822
2021-04-01T14:10:00Z,58821.1935801,58915,58813.43885848,58913
2021-04-01T14:15:00Z,58913,58989,58912.453138,58946.503484
2021-04-01T14:20:00Z,58988,59081,58988,59081
2021-04-01T14:25:00Z,59080,59155.97215374,59030,59036
2021-04-01T14:30:00Z,59037,59079,58933,58963
2021-04-01T14:35:00Z,58963,59011,58928.94891368,58932
2021-04-01T14:40:00Z,58933,59016.83728653,58932.707762,59012
2021-04-01T14:45:00Z,58994,59044,58882.910894,58891.19811484
2021-04-01T14:50:00Z,58884,58955,58884,58955
2021-04-01T14:55:00Z,58955,59065,58950,59038
2021-04-01T15:00:00Z,59037,59154,58974.31579,59105
2021-04-01T15:05:00Z,59105,59106,59027,59065
2021-04-01T15:10:00Z,59081,59081,58991,59007
2021-04-01T15:15:00Z,59014,59338,59014,59218
2021-04-01T15:20:00Z,59221,59276.444832,59161,59177
2021-04-01T15:25:00Z,59179,59185,59077,59101
2021-04-01T15:30:00Z,59109.20521416,59189,59105,59169
2021-04-01T15:35:00Z,59168,59182,59066.33308038,59066.33308038
2021-04-01T15:40:00Z,59066.20080704,59068,58991,59034
2021-04-01T15:45:00Z,59038,59067,58993,59053
2021-04-01T15:50:00Z,59037,59068,59004,59067
2021-04-01T15:55:00Z,59067,59086,59000,59000.30026692
2021-04-01T16:00:00Z,59001,59194,58912,58912
2021-04-01T16:05:00Z,58912,58950,58712,58944
2021-04-01T16:10:00Z,58944,58973,58944,58972
2021-04-01T16:15:00Z,58972,59028.506656,58911,58931
2021-04-01T16:20:00Z,58931,58931,58773,58788
2021-04-01T16:25:00Z,58788,58821,58765,58818
2021-04-01T16:30:00Z,58818,58821,58817,58821
2021-04-01T16:35:00Z,58821,58867.180015,58640,58721
2021-04-01T16:40:00Z,58713,58717,58643,58689
2021-04-01T16:45:00Z,58688.59956527,58816.04922941,58688,58759
2021-04-01T16:50:00Z,58766,58799,58737.39071512,58737.39071512
2021-04-01T16:55:00Z,58737.39071512,58791,58726,58778.85651
2021-04-01T17:00:00Z,58776,58825,58661,58703
2021-04-01T17:05:00Z,58711,58820,58711,58741
2021-04-01T17:10:00Z,58740,58789.54983935,58736,58741
2021-04-01T17:15:00Z,58753,58806,58700,58806
2021-04-01T17:20:00Z,58804,58804,58717,58720
2021-04-01T17:25:00Z,58711,58731,58640,58714
2021-04-01T17:30:00Z,58709,58749.798472,58665,58707.286455
2021-04-01T17:35:00Z,58707.286455,58707.286455,58538,58638.5770615
2021-04-01T17:40:00Z,58639,58670,58553.7898831,58577
2021-04-01T17:45:00Z,58577,58626,58478.71269349,58575.459537
2021-04-01T17:50:00Z,58550,58572,58441.0309449,58441.0309449
2021-04-01T17:55:00Z,58449.52144598,58506,58299,58499
2021-04-01T18:00:00Z,58496.761398,58500,58397,58500
2021-04-01T18:05:00Z,58500.55054718,58510,58362,58393
2021-04-01T18:10:00Z,58403,58448,58300,58303
2021-04-01T18:15:00Z,58302,58342,57955,57958
2021-04-01T18:20:00Z,57955,58448,57955,58420
2021-04-01T18:25:00Z,58419.376266,58719,58355,58630
2021-04-01T18:30:00Z,58637,58785,58596.15468403,58707
2021-04-01T18:35:00Z,58720.86196227,58728,58639.123464,58648.163504
2021-04-01T18:40:00Z,58648,58674,58531,58627
2021-04-01T18:45:00Z,58624,58799,58574,58756
2021-04-01T18:50:00Z,58760,58798.14677308,58715,58718
2021-04-01T18:55:00Z,58713,58757,58662,58706
2021-04-01T19:00:00Z,58721,58757,58642.32124784,58643
2021-04-01T19:05:00Z,58657,58731,58596,58723
2021-04-01T19:10:00Z,58725,58865,58706,58859
2021-04-01T19:15:00Z,58856.766246,58877,58733,58758
2021-04-01T19:20:00Z,58758,58787.87245344,58675,58704
2021-04-01T19:25:00Z,58700,58739,58669.87715,58712
2021-04-01T19:30:00Z,58722,58763.09330383,58690,58708
2021-04-01T19:35:00Z,58709,58752,58677,58744
2021-04-01T19:40:00Z,58767.55614481,58839,58767.16447953,58832
2021-04-01T19:45:00Z,58831.90806558,58912,58814,58831
2021-04-01T19:50:00Z,58826,58869,58795,58835
2021-04-01T19:55:00Z,58866,58912,58865.01050624,58875
2021-04-01T20:00:00Z,58901,58912,58864,58882
2021-04-01T20:05:00Z,58878,58956,58845,58916
2021-04-01T20:10:00Z,58915,58916,58888,58916
2021-04-01T20:15:00Z,58932,59011,58909,58909
2021-04-01T20:20:00Z,58908,58908,58717,58819
2021-04-01T20:25:00Z,58809,58889,58796,58888
2021-04-01T20:30:00Z,58888,58989,58883,58988
2021-04-01T20:35:00Z,58989,58989,58888,58888
2021-04-01T20:40:00Z,58888,58989,58888,58911
2021-04-01T20:45:00Z,58912,58988,58888,58888
2021-04-01T20:50:00Z,58888,58899,58860,58860
2021-04-01T20:55:00Z,58860,58889,58798.62771404,58861
2021-04-01T21:00:00Z,58873.68886,58919.62228,58868,58891
2021-04-01T21:05:00Z,58903,58903,58759,58795
2021-04-01T21:10:00Z,58799,58866,58799,58860
2021-04-01T21:15:00Z,58860,58860,58771.425636,58800
2021-04-01T21:20:00Z,58802.745614,58802.745614,58745,58746.49669524
2021-04-01T21:25:00Z,58746.49669524,58762,58693,58693
2021-04-01T21:30:00Z,58698,58778,58612,58614
2021-04-01T21:35:00Z,58611.89785019,58682,58555,58610
2021-04-01T21:40:00Z,58599,58670.42592849,58561,58561
2021-04-01T21:45:00Z,58571,58731.74184864,58571,58694.0570608
2021-04-01T21:50:00Z,58694.0570608,58751,58690,58750.58424256
2021-04-01T21:55:00Z,58751,58767.07133724,58724,58750
2021-04-01T22:00:00Z,58756,58785,58744,58767.97687046
2021-04-01T22:05:00Z,58763,58867,58617,58843
2021-04-01T22:10:00Z,58855,58880,58852,58853
2021-04-01T22:15:00Z,58874,58950,58866,58891
2021-04-01T22:20:00Z,58887,58899,58816,58816
2021-04-01T22:25:00Z,58816,58841,58805,58841
2021-04-01T22:30:00Z,58840,58935.68097941,58840,58935
2021-04-01T22:35:00Z,58935.68097941,58949,58894,58900
2021-04-01T22:40:00Z,58909,58966,58888,58965.65064496
2021-04-01T22:45:00Z,58965.65064496,59010.41440404,58911,58911
2021-04-01T22:50:00Z,58895,58919,58881,58900
2021-04-01T22:55:00Z,58916,59000,58916,58990
2021-04-01T23:00:00Z,58992,59087,58992,59022.856477
2021-04-01T23:05:00Z,59020,59020.143988,58911,58952
2021-04-01T23:10:00Z,58973,58973,58916,58917
2021-04-01T23:15:00Z,58919,58950,58857,58903
2021-04-01T23:20:00Z,58913,58928,58907,58909.037968
2021-04-01T23:25:00Z,58909,58926,58854,58907.5606028
2021-04-01T23:30:00Z,58905,58913.598012,58897,58910.886099
2021-04-01T23:35:00Z,58910,58910,58848,58854
2021-04-01T23:40:00Z,58852,58859,58848,58859
2021-04-01T23:45:00Z,58887,58887,58779,58779
2021-04-01T23:50:00Z,58778.44642734,58820.8278378,58738.387995,58775
2021-04-01T23:55:00Z,58762,58784,58724,58724
2021-04-02T00:00:00Z,58731,58832,58661,58661
2021-04-02T00:05:00Z,58662,58835,58620,58806.114874
2021-04-02T00:10:00Z,58808,58891,58808,58811
2021-04-02T00:15:00Z,58814,58872.129212,58733,58734
2021-04-02T00:20:00Z,58749,58749,58600,58650.731471
2021-04-02T00:25:00Z,58659.17533326,58702,58599.2096913,58686
2021-04-02T00:30:00Z,58685.21659579,58704,58572.12696655,58677
2021-04-02T00:35:00Z,58677,58748,58643.07769106,58669
2021-04-02T00:40:00Z,58692.97229328,58722,58622,58622
2021-04-02T00:45:00Z,58622,58652,58496.330126,58581
2021-04-02T00:50:00Z,58575.7382496,58588,58327.9868938,58519.051088
2021-04-02T00:55:00Z,58539,58634,58532,58625
2021-04-02T01:00:00Z,58627,58730,58614,58720
2021-04-02T01:05:00Z,58725,58730.39623844,58682,58697
2021-04-02T01:10:00Z,58692,58780,58664,58780
2021-04-02T01:15:00Z,58780,58799,58730,58736
2021-04-02T01:20:00Z,58733,58749,58711,58711
2021-04-02T01:25:00Z,58712,58787,58712,58787
2021-04-02T01:30:00Z,58787.75156866,58872.7812252,58787.75156866,58871
2021-04-02T01:35:00Z,58872.7812252,58922.99933058,58861,58907
2021-04-02T01:40:00Z,58916,58961.74534362,58916,58927
2021-04-02T01:45:00Z,58938,58989,58872,58910
2021-04-02T01:50:00Z,58908,58908,58880,58880
2021-04-02T01:55:00Z,58888,58900,58827,58870
2021-04-02T02:00:00Z,58870,58925.98983392,58840,58902
2021-04-02T02:05:00Z,58919,59125,58919,59077
2021-04-02T02:10:00Z,59077,59219,59077,59205
2021-04-02T02:15:00Z,59204,59209,59114,59184
2021-04-02T02:20:00Z,59161,59407,59153,59373.498625
2021-04-02T02:25:00Z,59371,59600,59361,59509
2021-04-02T02:30:00Z,59507.041752,60182,59507.041752,60161
2021-04-02T02:35:00Z,60157,60190,59912,60033
2021-04-02T02:40:00Z,60038,60101,59935,60033
2021-04-02T02:45:00Z,59986,60144.41999783,59935,60135
2021-04-02T02:50:00Z,60079,60145,59291,59721
2021-04-02T02:55:00Z,59670,59750,59321,59716
2021-04-02T03:00:00Z,59720,60020,59711,60012
2021-04-02T03:05:00Z,60012,60093,59922,59982
2021-04-02T03:10:00Z,60030,60030,59685,59765
2021-04-02T03:15:00Z,59803.634724,59900,59719,59735
2021-04-02T03:20:00Z,59765,59800,59640.13482379,59800
2021-04-02T03:25:00Z,59800,59883,59770,59831
2021-04-02T03:30:00Z,59831,59864,59748,59771
2021-04-02T03:35:00Z,59770,59784,59687,59714
2021-04-02T03:40:00Z,59715,59874,59691,59794
2021-04-02T03:45:00Z,59799,59851.079372,59660,59762
2021-04-02T03:50:00Z,59732,59800,59729,59796
2021-04-02T03:55:00Z,59786,59882,59784,59882
2021-04-02T04:00:00Z,59882,60033.12541246,59848,59848
2021-04-02T04:05:00Z,59847.719104,59865,59733,59779.376055
2021-04-02T04:10:00Z,59781,59781,59722,59748
2021-04-02T04:15:00Z,59756,59807,59748,59800
2021-04-02T04:20:00Z,59800,59827,59720.81504985,59742
2021-04-02T04:25:00Z,59736.96971946,59758,59609,59667
2021-04-02T04:30:00Z,59670.51993738,59764,59669,59764
2021-04-02T04:35:00Z,59752.19779452,59755,59682.59278324,59682.59278324
2021-04-02T04:40:00Z,59681.41484508,59722,59656,59656
2021-04-02T04:45:00Z,59657,59732.06615544,59580,59580
2021-04-02T04:50:00Z,59580,59627,59467.00672642,59504
2021-04-02T04:55:00Z,59515,59630,59515,59607.670696
2021-04-02T05:00:00Z,59608,59718,59589,59590
2021-04-02T05:05:00Z,59590,59597.52421752,59433,59493.876624
2021-04-02T05:10:00Z,59494,59532,59407.4684685,59499
2021-04-02T05:15:00Z,59510,59584,59432,59538
2021-04-02T05:20:00Z,59538.8574,59588.15342592,59538.8574,59575
2021-04-02T05:25:00Z,59576.8338,59626,59562,59585
2021-04-02T05:30:00Z,59582.22816,59626,59568,59575
2021-04-02T05:35:00Z,59575,59626,59543,59560
2021-04-02T05:40:00Z,59558,59558,59501.50015944,59525
2021-04-02T05:45:00Z,59525,59639,59525,59584
2021-04-02T05:50:00Z,59586,59612,59551,59584.016544
2021-04-02T05:55:00Z,59585,59634,59550.69407054,59560
2021-04-02T06:00:00Z,59597,59671,59550,59550.69407054
2021-04-02T06:05:00Z,59550,59550.77482432,59471,59513
2021-04-02T06:10:00Z,59513,59532,59501,59532
2021-04-02T06:15:00Z,59532,59561,59472,59536
2021-04-02T06:20:00Z,59535,59567,59535,59566.88046914
2021-04-02T06:25:00Z,59566.63195686,59567,59546,59547
2021-04-02T06:30:00Z,59546,59546,59448.114432,59473
2021-04-02T06:35:00Z,59474,59474,59360,59454
2021-04-02T06:40:00Z,59448.82597008,59489,59400,59482
2021-04-02T06:45:00Z,59467,59636,59467,59629
2021-04-02T06:50:00Z,59616,59639,59574,59594
2021-04-02T06:55:00Z,59578,59610,59556,59574
2021-04-02T07:00:00Z,59561,59724,59561,59690
2021-04-02T07:05:00Z,59689.08153256,59690,59659.477749,59682.91705059
2021-04-02T07:10:00Z,59682,59682,59577.04149195,59600
2021-04-02T07:15:00Z,59600,59639,59549,59638
2021-04-02T07:20:00Z,59617,59677,59617,59624.864592
2021-04-02T07:25:00Z,59624,59713,59624,59704
2021-04-02T07:30:00Z,59703,59719,59650,59650
2021-04-02T07:35:00Z,59651,59651,59561,59579
2021-04-02T07:40:00Z,59574,59574,59499,59521
2021-04-02T07:45:00Z,59521,59575,59496,59555.655035
2021-04-02T07:50:00Z,59558,59558,59504,59524
2021-04-02T07:55:00Z,59529,59572.2561,59457,59457
2021-04-02T08:00:00Z,59456.97680581,59617.13981192,59449,59570.446768
2021-04-02T08:05:00Z,59572,59632,59462,59514
2021-04-02T08:10:00Z,59534,59537,59440,59448
2021-04-02T08:15:00Z,59448,59577,59447,59518
2021-04-02T08:20:00Z,59518,59518,59461,59477.6076
2021-04-02T08:25:00Z,59478,59527,59448,59527
2021-04-02T08:30:00Z,59527.12100139,59605.290096,59527.12100139,59542.863864
2021-04-02T08:35:00Z,59528,59528,59425,59462
2021-04-02T08:40:00Z,59463,59500,59454.10946089,59499
2021-04-02T08:45:00Z,59494,59494.17049503,59424,59424
2021-04-02T08:50:00Z,59423.54935815,59499,59399,59488
2021-04-02T08:55:00Z,59489,59528,59461,59462.45114625
2021-04-02T09:00:00Z,59451,59451,59418,59445.9317292
2021-04-02T09:05:00Z,59436,59448,59383.4835729,59435
2021-04-02T09:10:00Z,59435,59456,59350,59351
2021-04-02T09:15:00Z,59353,59431,59353,59389.305359
2021-04-02T09:20:00Z,59389.305359,59429,59208,59429
2021-04-02T09:25:00Z,59429,59449,59393,59443.88486862
2021-04-02T09:30:00Z,59449,59511,59429.66240006,59511
2021-04-02T09:35:00Z,59511.05690195,59567,59511.05690195,59567
2021-04-02T09:40:00Z,59566.93428096,59588,59566.93428096,59581
2021-04-02T09:45:00Z,59580.76582656,59649,59580.76582656,59648
2021-04-02T09:50:00Z,59646,59648,59605,59626.611792
2021-04-02T09:55:00Z,59623,59625,59610,59619
2021-04-02T10:00:00Z,59614,59614,59561,59566
2021-04-02T10:05:00Z,59566,59566,59498,59498
2021-04-02T10:10:00Z,59497.682067,59523,59477,59478
2021-04-02T10:15:00Z,59478.46783344,59610,59478,59569
2021-04-02T10:20:00Z,59568.96248612,59645,59568,59639
2021-04-02T10:25:00Z,59643.68487164,59644,59578,59600
2021-04-02T10:30:00Z,59608,59653,59608,59650
2021-04-02T10:35:00Z,59650.240356,59650.240356,59575,59639.644783
2021-04-02T10:40:00Z,59639.644783,59639.644783,59576,59621
2021-04-02T10:45:00Z,59625,59634,59526,59536
2021-04-02T10:50:00Z,59535,59598.974358,59535,59588
2021-04-02T10:55:00Z,59588,59678,59588,59632.4063825
2021-04-02T11:00:00Z,59633,59669,59609,59616
2021-04-02T11:05:00Z,59617,59640,59545,59552
2021-04-02T11:10:00Z,59558,59596,59542,59575
2021-04-02T11:15:00Z,59581,59635,59551,59635
2021-04-02T11:20:00Z,59637,59655.38728608,59480,59491
2021-04-02T11:25:00Z,59491,59542,59483,59514
2021-04-02T11:30:00Z,59532,59533,59450,59469
2021-04-02T11:35:00Z,59451,59480,59425,59471
2021-04-02T11:40:00Z,59471,59582,59453,59503
2021-04-02T11:45:00Z,59511,59525,59495,59524.567265
2021-04-02T11:50:00Z,59524.567265,59530,59494,59530
2021-04-02T11:55:00Z,59530,59540,59483,59536
2021-04-02T12:00:00Z,59537,59550,59480,59480
2021-04-02T12:05:00Z,59473,59473,59388,59417
2021-04-02T12:10:00Z,59401,59401,59223,59264
2021-04-02T12:15:00Z,59270,59406.97742122,59265,59404
2021-04-02T12:20:00Z,59400,59428.96645014,59352.632898,59428.96645014
2021-04-02T12:25:00Z,59390,59438.577783,59321,59376
2021-04-02T12:30:00Z,59372,59524.83109804,59362.7510585,59452
2021-04-02T12:35:00Z,59455,59490,59411.493414,59448.567951
2021-04-02T12:40:00Z,59450,59501,59431.44550068,59431.44550068
2021-04-02T12:45:00Z,59438,59462,59400,59434
2021-04-02T12:50:00Z,59435,59471,59435,59468.4307078
2021-04-02T12:55:00Z,59469,59512,59451.9515892,59503
2021-04-02T13:00:00Z,59503,59503,59464,59496.51666114
2021-04-02T13:05:00Z,59497,59497,59282,59301
2021-04-02T13:10:00Z,59300.515902,59380,59275.22355648,59365
2021-04-02T13:15:00Z,59322,59367,59290,59290
2021-04-02T13:20:00Z,59290,59343.894207,59225,59249.02897704
2021-04-02T13:25:00Z,59235,59331,59224,59302
2021-04-02T13:30:00Z,59302.75609575,59302.75609575,59011,59139
2021-04-02T13:35:00Z,59135,59154,59010,59030
2021-04-02T13:40:00Z,59031,59189,59031,59149
2021-04-02T13:45:00Z,59150,59200,59149,59158
2021-04-02T13:50:00Z,59165,59169,59071,59134.114796
2021-04-02T13:55:00Z,59134,59230.2714465,59088,59189
2021-04-02T14:00:00Z,59188,59246,59145,59242
2021-04-02T14:05:00Z,59212,59298,59200,59263
2021-04-02T14:10:00Z,59285,59322,59260,59274
2021-04-02T14:15:00Z,59274,59282,59210,59221
2021-04-02T14:20:00Z,59221,59221,59161,59189
2021-04-02T14:25:00Z,59194,59223,59151,59151
2021-04-02T14:30:00Z,59160,59169,59089,59120
2021-04-02T14:35:00Z,59116,59120,59064,59119
2021-04-02T14:40:00Z,59119,59333,59116,59298
2021-04-02T14:45:00Z,59301,59401.72754044,59261,59282
2021-04-02T14:50:00Z,59282,59390,59282,59382.91693488
2021-04-02T14:55:00Z,59381.74131489,59381.74131489,59366,59370
2021-04-02T15:00:00Z,59369.5596,59512,59369,59489.71712
2021-04-02T15:05:00Z,59490,59595,59490,59521
2021-04-02T15:10:00Z,59525,59674,59525,59572
2021-04-02T15:15:00Z,59572,59604,59500.16751276,59533
2021-04-02T15:20:00Z,59532.904736,59590,59531,59553
2021-04-02T15:25:00Z,59552,59595,59519,59545
2021-04-02T15:30:00Z,59546,59583,59501,59501
2021-04-02T15:35:00Z,59502,59527,59420,59455
2021-04-02T15:40:00Z,59455,59455,59430,59455
2021-04-02T15:45:00Z,59455,59504,59455,59472
2021-04-02T15:50:00Z,59463,59463.4335,59400,59448
2021-04-02T15:55:00Z,59461,59510.34092042,59400,59488
2021-04-02T16:00:00Z,59487.99602343,59597,59461,59471
2021-04-02T16:05:00Z,59461,59461,59401.1083095,59423
2021-04-02T16:10:00Z,59422,59428,59343,59411.2509914
2021-04-02T16:15:00Z,59386,59432,59329,59341.40123944
2021-04-02T16:20:00Z,59352,59372,59253,59372
2021-04-02T16:25:00Z,59372,59374,59296,59321
2021-04-02T16:30:00Z,59321,59322,59262,59321
2021-04-02T16:35:00Z,59313,59333,59273.70533567,59333
2021-04-02T16:40:00Z,59333,59439,59332,59362
2021-04-02T16:45:00Z,59362,59362,59299,59301.11922516
2021-04-02T16:50:00Z,59301.11922516,59301.11922516,59209,59215
2021-04-02T16:55:00Z,59209,59209,59166,59200
2021-04-02T17:00:00Z,59230.8923452,59240,59177,59227.36389649
2021-04-02T17:05:00Z,59227.36389649,59243,59095,59101
2021-04-02T17:10:00Z,59101,59191,59082,59101.40338913
2021-04-02T17:15:00Z,59101,59137,59082,59082
2021-04-02T17:20:00Z,59082.18829275,59133,59077,59114
2021-04-02T17:25:00Z,59114,59184,59108.19218804,59108.19218804
2021-04-02T17:30:00Z,59110,59150,59073,59141
